Scenario,MeanTemp,MeanPrecip,Year,District
Ensemble_rcp60,10.5634815272202,1314.59015128126,1990,"Roseburg District"
Ensemble_rcp60,11.679011011629,1286.12745703406,2030,"Roseburg District"
Ensemble_rcp60,12.6100596892045,1266.53653390964,2060,"Roseburg District"
Ensemble_rcp60,13.6162807450859,1326.93923021509,2090,"Roseburg District"
Ensemble_rcp85,10.5634815272202,1314.59015128126,1990,"Roseburg District"
Ensemble_rcp85,12.0773129566739,1287.63311721725,2030,"Roseburg District"
Ensemble_rcp85,13.5212102500772,1263.85623134712,2060,"Roseburg District"
Ensemble_rcp85,15.126993928167,1307.62725120922,2090,"Roseburg District"
GFDLCM3_rcp45,10.5634815272202,1314.59015128126,1990,"Roseburg District"
GFDLCM3_rcp45,12.1103941545744,1325.36503035916,2030,"Roseburg District"
GFDLCM3_rcp45,13.3735103426984,1320.65128125965,2060,"Roseburg District"
GFDLCM3_rcp45,13.8172892868169,1340.92101471648,2090,"Roseburg District"
GFDLCM3_rcp60,10.5634815272202,1314.59015128126,1990,"Roseburg District"
GFDLCM3_rcp60,12.1484151487084,1388.2012452403,2030,"Roseburg District"
GFDLCM3_rcp60,12.9573582381394,1301.7260985901,2060,"Roseburg District"
GFDLCM3_rcp60,14.3662395801173,1344.26664608418,2090,"Roseburg District"
GFDLCM3_rcp85,10.5634815272202,1314.59015128126,1990,"Roseburg District"
GFDLCM3_rcp85,12.3953277760626,1276.51646598744,2030,"Roseburg District"
GFDLCM3_rcp85,14.2630184213234,1349.56133580323,2060,"Roseburg District"
GFDLCM3_rcp85,15.5427806936297,1285.79556447463,2090,"Roseburg District"
HadGEM2ES_rcp45,10.5634815272202,1314.59015128126,1990,"Roseburg District"
HadGEM2ES_rcp45,11.9298291653803,1269.95837192549,2030,"Roseburg District"
HadGEM2ES_rcp45,13.5185602552228,1322.92317587733,2060,"Roseburg District"
HadGEM2ES_rcp45,13.9975969949573,1242.52948440877,2090,"Roseburg District"
HadGEM2ES_rcp60,10.5634815272202,1314.59015128126,1990,"Roseburg District"
HadGEM2ES_rcp60,12.2327004219409,1310.29041885356,2030,"Roseburg District"
HadGEM2ES_rcp60,12.8827312956675,1281.56257075229,2060,"Roseburg District"
HadGEM2ES_rcp60,14.3039569826078,1397.08757847072,2090,"Roseburg District"
HadGEM2ES_rcp85,10.5634815272202,1314.59015128126,1990,"Roseburg District"
HadGEM2ES_rcp85,12.5546619326953,1438.9488525265,2030,"Roseburg District"
HadGEM2ES_rcp85,14.7177832664402,1215.92899042914,2060,"Roseburg District"
HadGEM2ES_rcp85,16.372409179788,1312.60440465164,2090,"Roseburg District"
CCSM4_rcp45,8.97391351118753,2186.75354991394,1990,"Salem District"
CCSM4_rcp45,11.0550290447505,2018.03114242685,2030,"Salem District"
CCSM4_rcp45,11.0329765490534,2118.37263339071,2060,"Salem District"
CCSM4_rcp45,11.7189221170396,2161.60305507745,2090,"Salem District"
CCSM4_rcp60,8.97391351118753,2186.75354991394,1990,"Salem District"
CCSM4_rcp60,10.2330733648881,2148.21439328744,2030,"Salem District"
CCSM4_rcp60,11.2038296041308,2121.56470524957,2060,"Salem District"
CCSM4_rcp60,11.6473913511188,2123.50494836489,2090,"Salem District"
CCSM4_rcp85,8.97391351118753,2186.75354991394,1990,"Salem District"
CCSM4_rcp85,10.7638500430293,2483.26807228916,2030,"Salem District"
CCSM4_rcp85,11.4739995697074,2030.75188253012,2060,"Salem District"
CCSM4_rcp85,13.3513285283994,2057.95169965577,2090,"Salem District"
Ensemble_rcp45,8.97391351118753,2186.75354991394,1990,"Salem District"
Ensemble_rcp45,10.3378334767642,2153.74107142857,2030,"Salem District"
Ensemble_rcp45,11.3006561962134,2190.45159208262,2060,"Salem District"
Ensemble_rcp45,11.626844879518,2221.50263554217,2090,"Salem District"
Ensemble_rcp60,8.97391351118753,2186.75354991394,1990,"Salem District"
Ensemble_rcp60,10.1176850258176,2171.85015060241,2030,"Salem District"
Ensemble_rcp60,11.0388876936317,2166.59235154905,2060,"Salem District"
Ensemble_rcp60,12.1036736230636,2268.05195783133,2090,"Salem District"
Ensemble_rcp85,8.97391351118753,2186.75354991394,1990,"Salem District"
Ensemble_rcp85,10.5219018932874,2161.40813253012,2030,"Salem District"
Ensemble_rcp85,11.9579711703959,2158.68303571429,2060,"Salem District"
Ensemble_rcp85,13.5712295611016,2254.49741824441,2090,"Salem District"
GFDLCM3_rcp45,8.97391351118753,2186.75354991394,1990,"Salem District"
GFDLCM3_rcp45,10.4809703098106,2270.73569277108,2030,"Salem District"
GFDLCM3_rcp45,11.7881024096386,2206.32863597246,2060,"Salem District"
GFDLCM3_rcp45,12.2552280550775,2307.85784208262,2090,"Salem District"
GFDLCM3_rcp60,8.97391351118753,2186.75354991394,1990,"Salem District"
GFDLCM3_rcp60,10.5505378657487,2302.37715146299,2030,"Salem District"
GFDLCM3_rcp60,11.3380593803786,2279.17534423408,2060,"Salem District"
GFDLCM3_rcp60,12.739807444062,2417.2510757315,2090,"Salem District"
GFDLCM3_rcp85,8.97391351118753,2186.75354991394,1990,"Salem District"
GFDLCM3_rcp85,10.7584122203099,2104.78479991394,2030,"Salem District"
GFDLCM3_rcp85,12.6405496987952,2245.16797547332,2060,"Salem District"
GFDLCM3_rcp85,13.9593373493976,2290.39043674699,2090,"Salem District"
HadGEM2ES_rcp45,8.97391351118753,2186.75354991394,1990,"Salem District"
HadGEM2ES_rcp45,10.431438253012,2164.77151462995,2030,"Salem District"
HadGEM2ES_rcp45,11.9289640705681,2163.77474182444,2060,"Salem District"
HadGEM2ES_rcp45,12.397326807229,2159.97133175559,2090,"Salem District"
HadGEM2ES_rcp60,8.97391351118753,2186.75354991394,1990,"Salem District"
HadGEM2ES_rcp60,10.6445729345956,2180.42459122203,2030,"Salem District"
HadGEM2ES_rcp60,11.2828420826162,2148.06029475043,2060,"Salem District"
HadGEM2ES_rcp60,12.6761833046471,2408.21541523236,2090,"Salem District"
HadGEM2ES_rcp85,8.97391351118753,2186.75354991394,1990,"Salem District"
HadGEM2ES_rcp85,10.9111176850258,2340.23531626506,2030,"Salem District"
HadGEM2ES_rcp85,13.1107358003442,2081.32314974182,2060,"Salem District"
HadGEM2ES_rcp85,14.6963048623065,2198.03781196213,2090,"Salem District"
