year,side,climate,carbon,timber,standing,fire,owl,cost
2043,North/Moist,HadGEM2ES-rcp45,7908732.9444359,87857.203413528,3121355.97325043,3208.584744,9468.498305,2617266.95579504
2043,South/Dry,HadGEM2ES-rcp45,6617098.85796342,30678.827010008,2491999.84114104,7312.27634599999,19006.80853,982036.335179439
2043,North/Moist,HadGEM2ES-rcp85,7742279.4580835,72732.108802213,2995804.30062028,4181.559742,7855.381237,2203340.73520773
2043,South/Dry,HadGEM2ES-rcp85,6614367.26513019,45837.777630216,2453400.5718661,7362.874752,17273.528461,1637036.23004982
2043,North/Moist,NoClimate,8276014.47992671,81043.375935619,3329779.15622541,4038.137393,12506.234843,2550107.40761615
2043,South/Dry,NoClimate,7149808.19193861,37517.894626357,2964065.70408107,6244.688069,26258.702832,1250832.33420676
2048,North/Moist,CCSM4-rcp45,8056789.61956241,79696.294103424,3149244.22782594,2855.576307,8997.980864,2435289.07880887
2048,South/Dry,CCSM4-rcp45,6642244.9978106,38852.849922525,2394825.26732544,7902.267766,17050.884012,1231526.98505943
2048,North/Moist,CCSM4-rcp85,8077339.51596431,68261.566241955,3179197.424806,3121.697777,9188.43884,2206392.20794934
2048,South/Dry,CCSM4-rcp85,7243226.18630481,50295.516142367,2933673.35326195,5612.339936,24093.825035,1688859.48350363
2048,North/Moist,Ensemble-rcp45,8204778.84043051,76295.202666012,3263118.36966377,2753.462187,9961.279752,2259080.43704785
2048,South/Dry,Ensemble-rcp45,7199991.0732892,42258.43272591,2884642.56135644,6124.575327,23700.413123,1396744.99129088
2048,North/Moist,Ensemble-rcp85,8163404.87137541,71682.959006682,3221452.48515273,2667.222384,9959.945334,2301522.6313641
2048,South/Dry,Ensemble-rcp85,7069284.24480159,46856.442240281,2752542.42228781,5704.01028899999,21609.074556,1602534.91547826
2048,North/Moist,GFDLCM3-rcp45,8130220.0997403,78439.623983502,3214846.66341699,2434.427697,9839.972743,2396392.43330293
2048,South/Dry,GFDLCM3-rcp45,7192098.27736631,40090.452204828,2922377.4225797,5047.286586,24021.495628,1364237.89140904
2048,North/Moist,GFDLCM3-rcp85,8070125.8681124,66895.934939379,3155909.62259805,2703.954759,9077.712231,2041876.40557141
2048,South/Dry,GFDLCM3-rcp85,6996904.1482917,51654.627046422,2725058.8631503,5863.074047,20668.92817,1720227.49646882
2048,North/Moist,HadGEM2ES-rcp45,8102973.10027621,79819.816982359,3201284.0945032,2823.008272,9622.88367,2582836.74772195
2048,South/Dry,HadGEM2ES-rcp45,6872328.59747949,38720.595354436,2616934.5564944,6771.522278,20466.909119,1300999.54433313
2048,North/Moist,HadGEM2ES-rcp85,7931126.5586964,66754.374447156,3069042.84203443,3666.046394,7732.966263,2126693.77181462
2048,South/Dry,HadGEM2ES-rcp85,6786881.89225431,51803.539687224,2428027.50746845,7139.841914,15960.89469,1756175.67542672
2048,North/Moist,NoClimate,8562761.3052786,78362.632288261,3448443.54575498,3413.450786,13546.913373,2282008.39900891
2048,South/Dry,NoClimate,7544388.13848739,40181.307691875,3163916.43812705,5347.270882,29676.680173,1404311.55863529
2053,North/Moist,CCSM4-rcp45,8225542.7239305,77719.226991049,3231864.26147168,2520.509957,9314.730982,2249312.64810091
2053,South/Dry,CCSM4-rcp45,6876465.93478311,40817.700802436,2523925.90707688,7495.05199699999,18537.660652,1303262.33121902
2053,North/Moist,CCSM4-rcp85,8274289.94381979,70227.119124939,3253502.00864763,2559.41479,9408.453038,2180879.69497792
2053,South/Dry,CCSM4-rcp85,7516953.04886141,48306.711424227,3039484.55720495,4713.52732,24880.233142,1461888.37853928
2053,North/Moist,Ensemble-rcp45,8406503.15178259,69179.61274396,3348278.65770144,2264.047863,10798.153814,2140129.60163319
2053,South/Dry,Ensemble-rcp45,7496103.65223559,49372.954568403,3016298.25908442,5103.560861,24572.293467,1539467.07081012
2053,North/Moist,Ensemble-rcp85,8334908.74649591,74257.684821587,3272790.18380387,2219.522348,9963.26391000001,2326343.97829002
2053,South/Dry,Ensemble-rcp85,7307811.547449,44302.514944932,2799806.56794964,5167.49460199999,21574.401072,1362604.39117103
2053,North/Moist,GFDLCM3-rcp45,8299250.02872759,75134.674098912,3268999.72516887,1833.062935,10286.990875,2260825.57984211
2053,South/Dry,GFDLCM3-rcp45,7479943.6304337,43402.090621122,3038010.08080868,4204.413614,24644.889153,1374875.30885636
2053,North/Moist,GFDLCM3-rcp85,8210318.4100061,77178.2701076659,3159229.17607834,2043.191988,8495.73133800001,2136468.89528741
2053,South/Dry,GFDLCM3-rcp85,7208403.04652289,41370.199059231,2720454.11359335,4796.164914,19788.130446,1314103.32577933
2053,North/Moist,HadGEM2ES-rcp45,8263249.5131219,81993.465171071,3259542.91302541,2675.419396,9754.830202,2478433.16919262
2053,South/Dry,HadGEM2ES-rcp45,7120991.8477238,36536.729414335,2729903.90163479,6414.763737,21171.56569,1247274.41519336
2053,North/Moist,HadGEM2ES-rcp85,8053075.0520508,82525.404049921,3017432.65794235,2938.189601,7025.622216,2394140.32083807
2053,South/Dry,HadGEM2ES-rcp85,6883998.6822238,36014.210000982,2237940.45915799,6322.072017,13209.835265,1092689.55821044
2053,North/Moist,NoClimate,8834274.09506,72105.94850349,3567260.13229536,3136.110146,14855.117041,2196150.82500093
2053,South/Dry,NoClimate,7927294.56587369,46428.393206101,3357471.57126286,4418.370943,31789.23111,1493875.81040651
2058,North/Moist,CCSM4-rcp45,8372787.54010652,78350.67125273,3314404.96438948,2128.162534,10151.214122,2482748.84528553
2058,South/Dry,CCSM4-rcp45,7102921.75090759,40201.701474605,2652407.63692113,6583.77981,19595.19157,1245750.65878537
2058,North/Moist,CCSM4-rcp85,8445901.1058729,67913.496284208,3308004.26303597,1933.920091,9686.46849700001,2059779.23733579
2058,South/Dry,CCSM4-rcp85,7742713.31949839,50650.829235392,3101176.53725041,3816.221532,24982.364353,1446877.59507827
2058,North/Moist,Ensemble-rcp45,8586405.32243841,66139.211034755,3425480.46220338,1727.026661,11279.984339,2076427.08656508
2058,South/Dry,Ensemble-rcp45,7768353.9120562,52397.91336805,3128743.9318004,4373.601776,25774.504326,1737966.10937855
2058,North/Moist,Ensemble-rcp85,8463627.3726174,73247.356330243,3286901.80443443,2095.865267,9829.82622400001,2264634.21636589
2058,South/Dry,Ensemble-rcp85,7498282.6951955,45307.53085263,2797618.5117287,4741.622131,21264.246474,1367010.70168499
2058,North/Moist,GFDLCM3-rcp45,8424056.0572107,78008.740771671,3285300.85856169,1486.368844,10255.956829,2392492.0446888
2058,South/Dry,GFDLCM3-rcp45,7741666.63297078,40523.755216312,3129373.71166827,3156.226704,25253.647845,1329065.67474504
2058,North/Moist,GFDLCM3-rcp85,8311848.91263661,65004.202146923,3089642.79395215,1981.460269,7909.389729,2073729.35215964
2058,South/Dry,GFDLCM3-rcp85,7352961.3335344,53551.432194794,2645711.34379121,5577.553123,18354.294399,1689798.02851531
2058,North/Moist,HadGEM2ES-rcp45,8396693.881109,75834.071612621,3298487.75116572,1869.254387,9999.976788,2467058.9095193
2058,South/Dry,HadGEM2ES-rcp45,7337814.8568646,42701.582121248,2815603.98120398,6967.721117,22079.718268,1300990.42107755
2058,North/Moist,HadGEM2ES-rcp85,8086666.7749836,82389.61650023,2757624.16379719,2675.168736,5767.870763,2489842.56906027
2058,South/Dry,HadGEM2ES-rcp85,6863176.06099121,36147.068717217,1871892.07312882,8922.278505,9688.25997600001,1123704.03761338
2058,North/Moist,NoClimate,9077152.08129701,75197.564576796,3677953.57704151,2240.667643,15733.019941,2382999.91351316
2058,South/Dry,NoClimate,8301497.17946351,43333.596820323,3554425.0955924,3635.512099,33834.090834,1330016.12817817
2063,North/Moist,CCSM4-rcp45,8517001.88392261,68515.853936478,3402631.29921424,2152.460491,10497.471154,2176959.2697168
2063,South/Dry,CCSM4-rcp45,7301210.34356671,50020.106409646,2768921.14142667,5441.811272,20598.779877,1562406.57424679
2063,North/Moist,CCSM4-rcp85,8594792.17059701,67837.491946997,3333385.491021,1291.236003,9508.131015,1992743.8390839
2063,South/Dry,CCSM4-rcp85,7918158.5250679,50713.397963046,3114385.04668841,2579.231604,23633.503757,1722492.13052752
2063,North/Moist,Ensemble-rcp45,8742403.49078601,67280.201828678,3485250.26916244,1471.860219,11519.019096,2038298.0963301
2063,South/Dry,Ensemble-rcp45,8015169.79284821,51259.01238071,3226313.77623101,3785.961297,26326.106936,1613312.98682082
2063,North/Moist,Ensemble-rcp85,8554356.91467482,71420.755230029,3253800.95122302,1878.147411,9576.39182800001,2058071.88891562
