start_vol,accretion_vol,mortality_vol,removed_vol,year,climate,acres,district
180349400.602102,19648016.56704,12261810.78083,0.0,2043,Ensemble-rcp85,15152.209702,"Eugene District"
15858289.756193,3543823.60844,654553.94971,0.0,2043,Ensemble-rcp85,7516.759292,"Lakeview District"
324884248.593348,31789641.40683,19790950.684845,0.0,2043,Ensemble-rcp85,42540.8427829999,"Medford District"
227475316.457541,20496746.143885,14609861.758245,0.0,2043,Ensemble-rcp85,20655.179195,"Roseburg District"
242266921.765826,25126977.25293,18782027.219785,0.0,2043,Ensemble-rcp85,19606.379064,"Salem District"
237653117.18211,19890712.06985,13234566.54175,0.0,2048,Ensemble-rcp45,16847.886544,"Coos Bay District"
188739476.751358,19433109.455415,12541783.44044,0.0,2048,Ensemble-rcp45,15152.209702,"Eugene District"
18656186.580401,3923227.40808,865578.622290001,0.0,2048,Ensemble-rcp45,7516.759292,"Lakeview District"
350078352.985668,34391596.453135,17390406.907445,0.0,2048,Ensemble-rcp45,42540.8427829999,"Medford District"
240898801.641405,21343613.338255,13103079.46876,0.0,2048,Ensemble-rcp45,20655.179195,"Roseburg District"
254239238.10925,25069303.73,19064492.0514,0.0,2048,Ensemble-rcp45,19606.379064,"Salem District"
235624824.2631,18834226.108785,14673959.81655,0.0,2048,Ensemble-rcp85,16847.886544,"Coos Bay District"
187733758.169682,18703697.250565,12813746.78249,0.0,2048,Ensemble-rcp85,15152.209702,"Eugene District"
18748273.775683,3762414.267845,1148674.39479,0.0,2048,Ensemble-rcp85,7516.759292,"Lakeview District"
336852236.73822,31233781.76262,25392522.289315,0.0,2048,Ensemble-rcp85,42540.8427829999,"Medford District"
233356981.612033,19389672.540705,17217674.33151,0.0,2048,Ensemble-rcp85,20655.179195,"Roseburg District"
248609138.489316,23834832.679025,20265846.90969,0.0,2048,Ensemble-rcp85,19606.379064,"Salem District"
244307413.861032,19089172.699335,13378972.547695,0.0,2053,Ensemble-rcp45,16847.886544,"Coos Bay District"
195630214.056806,18695965.05905,12582130.1784,0.0,2053,Ensemble-rcp45,15152.209702,"Eugene District"
21715267.944572,4052984.778685,1276885.992435,0.0,2053,Ensemble-rcp45,7516.759292,"Lakeview District"
367043568.974738,34327292.148765,20304390.667095,0.0,2053,Ensemble-rcp45,42540.8427829999,"Medford District"
249128052.977577,20815206.10789,14014572.88131,0.0,2053,Ensemble-rcp45,20655.179195,"Roseburg District"
260241675.546944,23927814.32172,19851891.5537,0.0,2053,Ensemble-rcp45,19606.379064,"Salem District"
239780499.3563,17265071.842885,17955872.184925,0.0,2053,Ensemble-rcp85,16847.886544,"Coos Bay District"
193622081.366892,17657422.853095,13465469.29783,0.0,2053,Ensemble-rcp85,15152.209702,"Eugene District"
21359853.148854,3853075.29985,1730661.43565,0.0,2053,Ensemble-rcp85,7516.759292,"Lakeview District"
342664490.922803,30103746.024465,30572615.59857,0.0,2053,Ensemble-rcp85,42540.8427829999,"Medford District"
235522257.883363,18125859.87795,19973951.265745,0.0,2053,Ensemble-rcp85,20655.179195,"Roseburg District"
252176473.104755,22435339.731495,21484202.38256,0.0,2053,Ensemble-rcp85,19606.379064,"Salem District"
250016526.312248,18182245.21017,14130487.5838,0.0,2058,Ensemble-rcp45,16847.886544,"Coos Bay District"
201744750.085698,17950932.25881,12441643.05471,0.0,2058,Ensemble-rcp45,15152.209702,"Eugene District"
24492064.089715,4074162.774655,1754379.978935,0.0,2058,Ensemble-rcp45,7516.759292,"Lakeview District"
381038923.112457,34106390.278205,22099757.717515,0.0,2058,Ensemble-rcp45,42540.8427829999,"Medford District"
255916940.73101,20213484.249425,14309410.185745,0.0,2058,Ensemble-rcp45,20655.179195,"Roseburg District"
264318540.095468,22947319.006995,20158915.32236,0.0,2058,Ensemble-rcp45,19606.379064,"Salem District"
239089231.049875,15367452.279825,21918458.85526,0.0,2058,Ensemble-rcp85,16847.886544,"Coos Bay District"
197812900.049387,16587504.038295,13981403.61052,0.0,2058,Ensemble-rcp85,15152.209702,"Eugene District"
23481734.985789,3900467.441115,2154249.37487,0.0,2058,Ensemble-rcp85,7516.759292,"Lakeview District"
342164195.897611,28766193.50069,31835532.9332949,0.0,2058,Ensemble-rcp85,42540.8427829999,"Medford District"
233664531.728151,16802844.25749,21343563.574035,0.0,2058,Ensemble-rcp85,20655.179195,"Roseburg District"
