year,district,climate,carbon,timber,standing,fire,owl,cost
2038,"Salem District",NoClimate,2900986.5066343,33425.430600983,1149180.40035367,3075.39094,4472.252803,1063429.96434695
2043,"Coos Bay District",CCSM4-rcp45,2811497.5938844,21103.986105696,1142680.53647377,386.295509,3313.349878,735469.031483358
2043,"Eugene District",CCSM4-rcp45,2202443.0574695,21941.651755765,828305.598695246,676.277573,2621.845436,627560.271152225
2043,"Lakeview District",CCSM4-rcp45,197602.3472506,1987.74673707,47797.116414541,304.489639,73.914203,21937.90507906
2043,"Medford District",CCSM4-rcp45,3528778.414828,11319.52620717,1131492.94799641,6331.028434,9569.398369,393637.993398002
2043,"Roseburg District",CCSM4-rcp45,2680968.7269108,24615.555534862,1088810.85607707,823.734339,5279.191444,946429.114284458
2043,"Salem District",CCSM4-rcp45,2851817.6780533,37653.210830949,1099715.79900459,1700.760554,3340.135288,1226644.56486944
2043,"Coos Bay District",CCSM4-rcp85,2817633.46605039,19380.066104165,1174238.4701177,604.408525,2976.23929,782467.988706975
2043,"Eugene District",CCSM4-rcp85,2234309.9818478,21718.594523741,848676.569270844,728.665525,2712.935755,577699.415130494
2043,"Lakeview District",CCSM4-rcp85,207655.6909902,2628.701608963,56866.913102994,253.72403,89.479783,54049.118408913
2043,"Medford District",CCSM4-rcp85,3987094.4052029,18707.439397931,1593786.10836568,4776.635407,16211.571863,689635.072751332
2043,"Roseburg District",CCSM4-rcp85,2746388.0040119,15791.477112724,1149710.92069073,894.388936,5746.870785,577701.9961387
2043,"Salem District",CCSM4-rcp85,2806636.0231733,40361.66541369,1064063.93277459,2160.898869,3355.192531,1046271.50111047
2043,"Coos Bay District",Ensemble-rcp45,2832186.9111367,25852.323229979,1173103.9430525,542.459868,3273.081982,1018526.68859001
2043,"Eugene District",Ensemble-rcp45,2228581.2660236,22479.700935983,846020.719661937,551.864993,2815.770762,602485.068596411
2043,"Lakeview District",Ensemble-rcp45,205934.9031749,1941.032136539,51396.774282838,516.871904,87.372254,22538.907753704
2043,"Medford District",Ensemble-rcp45,3920506.0883434,17033.67088366,1517934.06266357,5147.037355,14995.020819,524859.13059638
2043,"Roseburg District",Ensemble-rcp45,2755950.8580812,17090.379906662,1166093.19249364,766.886638,6514.462873,563158.723902309
2043,"Salem District",Ensemble-rcp45,2924540.3733293,34170.26360687,1153298.93278375,1747.152891,3957.088733,900973.520269638
2043,"Coos Bay District",Ensemble-rcp85,2846133.21441779,15164.579857821,1183103.47356048,420.411701,3431.504492,485433.486270839
2043,"Eugene District",Ensemble-rcp85,2238219.0174531,25274.823729692,850062.785337614,731.423539,2943.055505,709958.177705016
2043,"Lakeview District",Ensemble-rcp85,203470.8883182,907.880967772,49181.099516985,475.229653,148.65804,13486.318214717
2043,"Medford District",Ensemble-rcp85,3886519.2165502,15901.671232558,1483979.26828918,5159.201704,14156.998112,550198.706067933
2043,"Roseburg District",Ensemble-rcp85,2711982.7723965,23117.326833308,1131029.55061467,1082.865994,6134.153392,759659.320118387
2043,"Salem District",Ensemble-rcp85,2870510.0089872,38171.421117268,1110069.80508293,2062.067847,3759.219955,1109330.49468324
2043,"Coos Bay District",GFDLCM3-rcp45,2834020.2725187,22513.978575412,1180684.58597702,463.751902,3087.581871,658306.406774221
2043,"Eugene District",GFDLCM3-rcp45,2198539.0625434,25843.162072231,830154.526079676,381.613065,2790.390197,685878.915677
2043,"Lakeview District",GFDLCM3-rcp45,204467.8157615,2249.349291948,57966.260993887,338.073598,72.163596,32550.668622261
2043,"Medford District",GFDLCM3-rcp45,3950352.68770699,13821.644052488,1578411.08160536,4248.73718,15561.962521,452533.935850356
2043,"Roseburg District",GFDLCM3-rcp45,2725773.4255657,19707.669467639,1143984.68873716,861.802964,6166.790448,785466.388359875
2043,"Salem District",GFDLCM3-rcp45,2900285.8522267,34452.077196258,1131299.71284906,1905.581703,3994.732045,982284.104485595
2043,"Coos Bay District",GFDLCM3-rcp85,2794245.957204,20270.802467676,1159009.62225904,635.343655,2931.255434,633481.448745707
2043,"Eugene District",GFDLCM3-rcp85,2216803.0469259,22717.668688724,839030.865469444,765.607941,2797.267636,675107.331764298
2043,"Lakeview District",GFDLCM3-rcp85,201920.2138448,1234.611997636,54773.911348765,345.488834,19.324047,25790.865930472
2043,"Medford District",GFDLCM3-rcp85,3844117.8901061,18035.473967989,1494510.5483426,5174.505736,14080.027488,601876.058308437
2043,"Roseburg District",GFDLCM3-rcp85,2705787.1032601,20853.886157155,1122312.33353325,722.474465,5546.536478,682627.306419011
2043,"Salem District",GFDLCM3-rcp85,2869080.3336922,35435.1093682,1096110.38245121,1924.49773,3482.504186,964708.574538124
2043,"Coos Bay District",HadGEM2ES-rcp45,2811942.7075437,25522.838073323,1162657.13282152,601.158058,3101.28204,766126.41441828
2043,"Eugene District",HadGEM2ES-rcp45,2211988.1246441,25895.740235385,835203.409899595,783.374903,2695.613242,727260.717305686
2043,"Lakeview District",HadGEM2ES-rcp45,190943.1764782,1152.129431258,41207.732956661,802.53474,29.234305,15888.567096403
2043,"Medford District",HadGEM2ES-rcp45,3693955.4875486,14142.773001247,1307241.62867862,5331.726511,12824.304408,433771.861968476
2043,"Roseburg District",HadGEM2ES-rcp45,2732200.1939366,15383.924577503,1143550.47950577,1178.015095,6153.269817,532375.90611456
2043,"Salem District",HadGEM2ES-rcp45,2884802.1122481,36438.62510482,1123495.43052931,1824.051783,3671.603023,1123879.82407107
2043,"Coos Bay District",HadGEM2ES-rcp85,2784239.9570699,19776.191456957,1147992.1409878,505.840804,2976.476952,657933.339739132
2043,"Eugene District",HadGEM2ES-rcp85,2207685.5774478,22101.422065841,828080.848279814,1103.748894,2346.70699,657353.91232654
