year,district,climate,carbon
2038,"Salem District",CCSM4-rcp85,3137412.097111
2038,"Salem District",Ensemble-rcp45,3181810.1239716
2038,"Salem District",Ensemble-rcp85,3168475.8098621
2038,"Salem District",GFDLCM3-rcp45,3173542.3280352
2038,"Salem District",GFDLCM3-rcp85,3147122.7573008
2038,"Salem District",HadGEM2ES-rcp45,3157695.3396312
2038,"Salem District",HadGEM2ES-rcp85,3097276.7074804
2038,"Salem District",NoClimate,3232688.6117216
2043,"Coos Bay District",CCSM4-rcp45,3091319.34841571
2043,"Coos Bay District",CCSM4-rcp85,3085313.83532319
2043,"Coos Bay District",Ensemble-rcp45,3127690.1391914
2043,"Coos Bay District",Ensemble-rcp85,3117833.137451
2043,"Coos Bay District",GFDLCM3-rcp45,3083738.9863187
2043,"Coos Bay District",GFDLCM3-rcp85,3067408.2102439
2043,"Coos Bay District",HadGEM2ES-rcp45,3103578.7417039
2043,"Coos Bay District",HadGEM2ES-rcp85,3065627.3054201
2043,"Coos Bay District",NoClimate,3233751.9123961
2043,"Eugene District",CCSM4-rcp45,2511908.9393352
2043,"Eugene District",CCSM4-rcp85,2503990.2785006
2043,"Eugene District",Ensemble-rcp45,2536613.8051589
2043,"Eugene District",Ensemble-rcp85,2528494.7766736
2043,"Eugene District",GFDLCM3-rcp45,2512875.0347088
2043,"Eugene District",GFDLCM3-rcp85,2490037.0363365
2043,"Eugene District",HadGEM2ES-rcp45,2520369.7953477
2043,"Eugene District",HadGEM2ES-rcp85,2480723.5531358
2043,"Eugene District",NoClimate,2601693.3553207
2043,"Lakeview District",CCSM4-rcp45,213620.3286649
2043,"Lakeview District",CCSM4-rcp85,240495.7003186
2043,"Lakeview District",Ensemble-rcp45,218675.7102757
2043,"Lakeview District",Ensemble-rcp85,219943.1881069
2043,"Lakeview District",GFDLCM3-rcp45,229479.1773534
2043,"Lakeview District",GFDLCM3-rcp85,230546.6687233
2043,"Lakeview District",HadGEM2ES-rcp45,203413.9294351
2043,"Lakeview District",HadGEM2ES-rcp85,207050.3019485
2043,"Lakeview District",NoClimate,236169.8335892
2043,"Medford District",CCSM4-rcp45,3832412.64425121
2043,"Medford District",CCSM4-rcp85,4344196.64230909
2043,"Medford District",Ensemble-rcp45,4225629.1389229
2043,"Medford District",Ensemble-rcp85,4203141.7809078
2043,"Medford District",GFDLCM3-rcp45,4279910.8705303
2043,"Medford District",GFDLCM3-rcp85,4216305.7299039
2043,"Medford District",HadGEM2ES-rcp45,3986656.21631221
2043,"Medford District",HadGEM2ES-rcp85,4062137.3904789
2043,"Medford District",NoClimate,4377524.833285
2043,"Roseburg District",CCSM4-rcp45,2931246.8859481
2043,"Roseburg District",CCSM4-rcp85,2961478.764352
2043,"Roseburg District",Ensemble-rcp45,2997708.020522
2043,"Roseburg District",Ensemble-rcp85,2982390.3834257
2043,"Roseburg District",GFDLCM3-rcp45,2974344.0654064
2043,"Roseburg District",GFDLCM3-rcp85,2950304.4584815
2043,"Roseburg District",HadGEM2ES-rcp45,2972793.8953286
2043,"Roseburg District",HadGEM2ES-rcp85,2938406.5689868
2043,"Roseburg District",NoClimate,3088299.1674818
2043,"Salem District",CCSM4-rcp45,3261375.6191027
2043,"Salem District",CCSM4-rcp85,3286682.129476
2043,"Salem District",Ensemble-rcp45,3343121.2548414
2043,"Salem District",Ensemble-rcp85,3322413.7930323
2043,"Salem District",GFDLCM3-rcp45,3328418.5233465
2043,"Salem District",GFDLCM3-rcp85,3291463.3960131
2043,"Salem District",HadGEM2ES-rcp45,3311238.1918228
2043,"Salem District",HadGEM2ES-rcp85,3231483.4385975
2043,"Salem District",NoClimate,3415341.4212508
2048,"Coos Bay District",CCSM4-rcp45,3201028.1548168
2048,"Coos Bay District",CCSM4-rcp85,3204023.9467479
2048,"Coos Bay District",Ensemble-rcp45,3245446.8369337
2048,"Coos Bay District",Ensemble-rcp85,3229207.2139278
2048,"Coos Bay District",GFDLCM3-rcp45,3193456.4405839
2048,"Coos Bay District",GFDLCM3-rcp85,3170030.2098825
2048,"Coos Bay District",HadGEM2ES-rcp45,3214774.2851255
2048,"Coos Bay District",HadGEM2ES-rcp85,3163936.0120347
2048,"Coos Bay District",NoClimate,3374673.4589202
2048,"Eugene District",CCSM4-rcp45,2631546.5103637
2048,"Eugene District",CCSM4-rcp85,2622985.1357706
2048,"Eugene District",Ensemble-rcp45,2660297.2352867
2048,"Eugene District",Ensemble-rcp85,2647414.3325719
2048,"Eugene District",GFDLCM3-rcp45,2631460.4596831
2048,"Eugene District",GFDLCM3-rcp85,2603848.2177379
2048,"Eugene District",HadGEM2ES-rcp45,2639602.1416735
2048,"Eugene District",HadGEM2ES-rcp85,2594310.6433379
2048,"Eugene District",NoClimate,2741959.8973463
2048,"Lakeview District",CCSM4-rcp45,243018.6833584
2048,"Lakeview District",CCSM4-rcp85,265818.3605802
2048,"Lakeview District",Ensemble-rcp45,248143.1387595
2048,"Lakeview District",Ensemble-rcp85,248297.7757443
2048,"Lakeview District",GFDLCM3-rcp45,256791.8009655
2048,"Lakeview District",GFDLCM3-rcp85,260530.4789093
2048,"Lakeview District",HadGEM2ES-rcp45,229573.1409422
2048,"Lakeview District",HadGEM2ES-rcp85,230078.4247271
2048,"Lakeview District",NoClimate,270654.5378124
2048,"Medford District",CCSM4-rcp45,3989929.6274681
2048,"Medford District",CCSM4-rcp85,4589288.27668629
2048,"Medford District",Ensemble-rcp45,4459356.07285721
2048,"Medford District",Ensemble-rcp85,4412733.61718399
2048,"Medford District",GFDLCM3-rcp45,4516843.4440643
2048,"Medford District",GFDLCM3-rcp85,4421063.655583
2048,"Medford District",HadGEM2ES-rcp45,4164686.0927115
2048,"Medford District",HadGEM2ES-rcp85,4208695.5932282
2048,"Medford District",NoClimate,4659395.04068019
2048,"Roseburg District",CCSM4-rcp45,3056321.6524557
2048,"Roseburg District",CCSM4-rcp85,3092142.2669721
2048,"Roseburg District",Ensemble-rcp45,3135432.5228564
2048,"Roseburg District",Ensemble-rcp85,3106876.0629661
