year,climate,fortype,acres
2023,CCSM4-rcp45,264,271.15247
2023,CCSM4-rcp45,267,492.981894
2023,CCSM4-rcp45,281,49.074073
2023,CCSM4-rcp45,301,2115.420738
2023,CCSM4-rcp45,304,199.628177
2023,CCSM4-rcp45,305,45.444866
2023,CCSM4-rcp45,361,39.998745
2023,CCSM4-rcp45,702,40.613289
2023,CCSM4-rcp45,704,19.475418
2023,CCSM4-rcp45,709,164.938001
2023,CCSM4-rcp45,722,116.39936
2023,CCSM4-rcp45,911,4623.149534
2023,CCSM4-rcp45,912,1506.777169
2023,CCSM4-rcp45,922,1410.219381
2023,CCSM4-rcp45,923,5302.50784
2023,CCSM4-rcp45,924,12.448387
2023,CCSM4-rcp45,932,2609.063177
2023,CCSM4-rcp45,941,2890.925606
2023,CCSM4-rcp45,942,32.629098
2023,CCSM4-rcp45,943,807.396856
2023,CCSM4-rcp45,951,5234.903158
2023,CCSM4-rcp45,997,506.609117
2023,CCSM4-rcp45,998,402.791879
2023,CCSM4-rcp45,999,626.883339
2023,CCSM4-rcp85,183,3073.089189
2023,CCSM4-rcp85,201,82727.4437369999
2023,CCSM4-rcp85,202,45.057329
2023,CCSM4-rcp85,221,5262.343
2023,CCSM4-rcp85,222,461.811025
2023,CCSM4-rcp85,224,651.721609
2023,CCSM4-rcp85,241,73.046263
2023,CCSM4-rcp85,261,376.153446
2023,CCSM4-rcp85,262,199.408953
2023,CCSM4-rcp85,264,473.137828
2023,CCSM4-rcp85,267,2107.048792
2023,CCSM4-rcp85,268,72.005217
2023,CCSM4-rcp85,281,9.075328
2023,CCSM4-rcp85,301,1622.345169
2023,CCSM4-rcp85,304,303.708339
2023,CCSM4-rcp85,305,45.444866
2023,CCSM4-rcp85,361,39.998745
2023,CCSM4-rcp85,704,19.475418
2023,CCSM4-rcp85,709,57.701438
2023,CCSM4-rcp85,722,97.095785
2023,CCSM4-rcp85,911,4626.696709
2023,CCSM4-rcp85,912,1588.909791
2023,CCSM4-rcp85,922,1100.628498
2023,CCSM4-rcp85,923,5297.666547
2023,CCSM4-rcp85,932,2178.845667
2023,CCSM4-rcp85,941,2923.085107
2023,CCSM4-rcp85,942,68.590339
2023,CCSM4-rcp85,943,615.026501
2023,CCSM4-rcp85,951,4745.545006
2023,CCSM4-rcp85,997,471.766861
2023,CCSM4-rcp85,998,376.55542
2023,CCSM4-rcp85,999,608.828658
2023,Ensemble-rcp45,183,3327.882834
2023,Ensemble-rcp45,201,83820.210043
2023,Ensemble-rcp45,202,45.057329
2023,Ensemble-rcp45,221,5543.863284
2023,Ensemble-rcp45,222,592.507792
2023,Ensemble-rcp45,224,637.053775
