start_vol,accretion_vol,mortality_vol,removed_vol,year,climate,acres,district
209327075.256098,22568554.2023,8603903.016515,4368037.452655,2033,NoClimate,20655.179195,"Roseburg District"
207422702.101731,27163660.98655,12428097.74959,6369708.495997,2033,NoClimate,19606.379064,"Salem District"
204905001.913972,19236905.84812,10502359.72205,5307152.129798,2038,Ensemble-rcp45,16847.886544,"Coos Bay District"
152380077.757438,18429721.203775,8985984.484095,4559201.144253,2038,Ensemble-rcp45,15152.209702,"Eugene District"
12509956.388712,3279905.952185,379368.685845,490322.959382,2038,Ensemble-rcp45,7516.759292,"Lakeview District"
288931907.907828,31773192.403505,10648314.47338,3947963.043141,2038,Ensemble-rcp45,42540.8427829999,"Medford District"
204726003.638223,20338248.34241,9336744.80313499,3356425.883951,2038,Ensemble-rcp45,20655.179195,"Roseburg District"
208438569.753548,24054270.40603,12815040.764465,6516894.367508,2038,Ensemble-rcp45,19606.379064,"Salem District"
205362842.808144,18924272.503105,10539382.82669,5462071.290274,2038,Ensemble-rcp85,16847.886544,"Coos Bay District"
153489277.470451,18440504.92871,9264731.70051999,3998489.027476,2038,Ensemble-rcp85,15152.209702,"Eugene District"
12060417.833225,3314458.25407,406810.892705,514905.743503,2038,Ensemble-rcp85,7516.759292,"Lakeview District"
285485351.616728,30351474.5382351,13454201.943825,4013325.981073,2038,Ensemble-rcp85,42540.8427829999,"Medford District"
201341415.666973,19517343.152635,10325061.17098,3740209.511325,2038,Ensemble-rcp85,20655.179195,"Roseburg District"
202105415.810479,23200802.06044,13029661.955185,6380892.274223,2038,Ensemble-rcp85,19606.379064,"Salem District"
217986163.258,22287888.91396,11992207.33834,3676039.650788,2038,NoClimate,16847.886544,"Coos Bay District"
160637215.275974,20489084.921915,9756492.94294499,5602317.046087,2038,NoClimate,15152.209702,"Eugene District"
14029463.519802,3625826.899305,370218.6028,184991.90937,2038,NoClimate,7516.759292,"Lakeview District"
314631345.442585,34227335.4019,7416099.29733999,4016315.701658,2038,NoClimate,42540.8427829999,"Medford District"
218913818.701514,22766090.495425,8971484.151475,3937265.957028,2038,NoClimate,20655.179195,"Roseburg District"
215787450.479462,26675655.902785,12858301.974645,6566791.705848,2038,NoClimate,19606.379064,"Salem District"
208330547.322036,18762213.07584,10063226.01209,4968318.279581,2043,Ensemble-rcp45,16847.886544,"Coos Bay District"
157262992.290661,17846078.053385,8907872.39813,4436649.651921,2043,Ensemble-rcp45,15152.209702,"Eugene District"
14919588.862247,3600428.58218,479627.356325,502372.092359,2043,Ensemble-rcp45,7516.759292,"Lakeview District"
306085905.189983,33265706.702265,12335165.27708,3537159.107591,2043,Ensemble-rcp45,42540.8427829999,"Medford District"
212362039.168782,20240809.985965,9756648.0741,3427425.855516,2043,Ensemble-rcp45,20655.179195,"Roseburg District"
213159353.070549,23025529.218605,13410055.14191,6495402.345394,2043,Ensemble-rcp45,19606.379064,"Salem District"
208284859.84744,18406395.8122,10686063.87564,3035182.301244,2043,Ensemble-rcp85,16847.886544,"Coos Bay District"
158667311.055989,17555302.33275,9131562.56119,5082028.883494,2043,Ensemble-rcp85,15152.209702,"Eugene District"
14452808.514377,3697349.411495,605261.9938,297542.743861,2043,Ensemble-rcp85,7516.759292,"Lakeview District"
298347544.819174,31204102.51439,17136116.66906,3496612.940359,2043,Ensemble-rcp85,42540.8427829999,"Medford District"
206785985.956441,18850033.57237,11750442.229035,4574834.490306,2043,Ensemble-rcp85,20655.179195,"Roseburg District"
205895331.183873,22008438.522615,13807552.39868,7174888.786527,2043,Ensemble-rcp85,19606.379064,"Salem District"
224605088.177689,21846594.1942,12178234.015205,5064598.154376,2043,NoClimate,16847.886544,"Coos Bay District"
165765059.596151,20078237.626695,9897545.99647,4037617.406724,2043,NoClimate,15152.209702,"Eugene District"
17100053.147798,4070927.839765,461865.746865,350807.403513,2043,NoClimate,7516.759292,"Lakeview District"
337400755.902813,35868480.35494,8635449.61283499,3848537.828785,2043,NoClimate,42540.8427829999,"Medford District"
228762261.086629,22868575.67557,9503240.56376,3486008.776335,2043,NoClimate,20655.179195,"Roseburg District"
223041241.2411,26133971.885785,13142902.409135,6756367.447527,2043,NoClimate,19606.379064,"Salem District"
212058686.136363,18128727.177495,9979117.86011499,4263084.631296,2048,Ensemble-rcp45,16847.886544,"Coos Bay District"
161766867.599487,17064574.41613,8885563.97704499,4716330.592876,2048,Ensemble-rcp45,15152.209702,"Eugene District"
17537134.246879,3755195.23407,697196.883525001,687675.549831,2048,Ensemble-rcp45,7516.759292,"Lakeview District"
323451673.203227,33747642.85787,14376434.03666,4721886.14446,2048,Ensemble-rcp45,42540.8427829999,"Medford District"
219412573.501516,19839555.833695,10413257.6267,3560028.454758,2048,Ensemble-rcp45,20655.179195,"Roseburg District"
216280453.102081,22103477.437985,14158963.86704,5768123.812137,2048,Ensemble-rcp45,19606.379064,"Salem District"
212970256.440668,17331353.942205,11369850.05006,4148516.403106,2048,Ensemble-rcp85,16847.886544,"Coos Bay District"
162007851.291407,16629702.38172,9467915.09003,3941831.727423,2048,Ensemble-rcp85,15152.209702,"Eugene District"
17247144.526065,3695682.7536,962952.458595,1067602.182046,2048,Ensemble-rcp85,7516.759292,"Lakeview District"
308890504.813425,30417289.03856,21901870.72997,6376669.604812,2048,Ensemble-rcp85,42540.8427829999,"Medford District"
209304372.706502,17891437.32317,13999440.63104,2857789.842369,2048,Ensemble-rcp85,20655.179195,"Roseburg District"
206919514.014353,20877130.155185,14784988.892385,6037419.775893,2048,Ensemble-rcp85,19606.379064,"Salem District"
